C68D,Saraswatha Choornam,50g,70
C69,Yogaraja Choornam,500g,487
C69D,Yogaraja Choornam,50g,49
C6D,Karpooradi Choornam,50g,53
C7,Kallyanaksharam,250g,301
C70,Pushyanuga Choornam,500g,644
C70D,Pushyanuga Choornam,50g,70
C71,Nimbadi Choornam,500g,322
C71D,Nimbadi Choornam,50g,35
C72D,Amruthadi Choornam,50g,28
C73D,Panchakoladi Choornam,50g,63
C75,Navayasa Choornam,50g,70
C78D,Kachooradi Choornam,50g,46
C8,Gulgulupanchapala Choornam,500g,644
C83,Kottamchukkadi Choornam,200g,126
C84,Jatamayadilepa choornam,200g,154
C8D,Gulgulupanchapala Choornam,50g,70
C9,Dadimashtaka Choornam,500g,385
C90,Shaddharana Choornam,50g,98
C93A,Kolakulathadi Choornam,200g,84
C93D,Kolakulathadi Choornam,50g,25
C97,Nagaradi Lepa Choornam,200g,154
C97D,Nagaradi Lepa Choornam,50g,42
C9D,Dadimashtaka Choornam,50g,42
D1,Amruthotharam Kashayam,200ml,77
D10,Nirgunyadi Kashayam,200ml,70
D11,Nisakatakadi Kashayam,200ml,81
D15,Dhanwantharam Kashayam,200ml,109
D17,Panchatikthakam Kashayam,200ml,95
D18,Pathyadi Kashayam,200ml,84
D19,Punarnnavadi Kashayam,200ml,84
D2,Elakanadi Kashayam,200ml,116
D20,Bhruhathyadi Kashayam,200ml,77
D21,Bhadradarvadi Kashayam,200ml,84
D22,Maharasnadi Kashayam,200ml,123
D23,Manjishtadi Kashayam,200ml,105
D24,Mustakaranjadi Kashayam,200ml,98
D25,Musalikhadiradi Kashayam,200ml,70
D26,Rasnerandadi Kashayam,200ml,130
D27,Varanadi Kashayam,200ml,77
D28,Vyoshadi Kashayam,200ml,77
D29,Sapthasaram Kashayam,200ml,95
D30,Padoladhiganam Kashayam,200ml,154
D37,Thrayanthyadi Kashayam,200ml,126
D4,Ghandravahastadi Kashayam,200ml,77
D40,Ashtavargam (Balasahachradi),200ml,88
D41,Gulguluthikthakomkashayam,200ml,140
D42,Dhanadanayanadi Kashayam,200ml,112
D43,Prasaranyadi Kashayam,200ml,84
D44,Rasnasaptakam Kashayam,200ml,88
D45,Vidaryadi Kashayam,200ml,91
D46,Sahacharadi Kashayam,200ml,84
D47,Balaguluchyadi Kashayam,200ml,70
D48,Mahathikthakam Kashayam,200ml,147
D49,Balajeerakadi Kashayam,200ml,74
D5,Guluchyadi Kashayam,200ml,130
D50,Pathyakshadhathryadi Kashayam,200ml,88
D51,Kathakakadhiradhikashayam,200ml,74
D52,Vasaguluchyadi Kashayam,200ml,74
D53,Vajrakam Kashayam,200ml,77
D55,Indhukantham Kashayam,200ml,88
D56,Sukumaram Kashayam,200ml,95
D57,Dusparsakadi Kashayam,200ml,109
D58,Nimbadi Kashayam,200ml,84
D59,Mahamanjishtadi Kashayam,200ml,116
D6,Chiruvilwadi Kashayam,200ml,112
D60,kokilaksham Kashayam,200ml,74
D61,Rasonadi Kashayam,200ml,137
D7,Dasamoolakadutryamkashaya,200ml,98
D8,Drakshadi Kashayam,200ml,112
D9,Nayopayam Kashayam,200ml,119
G1,Indukantha Ghritham,450ml,462
G10,Dhanwanthara Ghritham,450ml,462
G10A,Dhanwanthara Ghritham,200ml,207
G11,Durva Ghritham,450ml,420
G11A,Durva Ghritham,200ml,186
G12,Neelee Ghritham,450ml,763
G12A,Neelee Ghritham,200ml,340
G13,Neeleedaladi Ghritham,450ml,385
G13A,Neeleedaladi Ghritham,200ml,172
G14,Patoladi Ghritham,450ml,441
G14A,Patoladi Ghritham,200ml,196
G15,Padadarvadi Ghritham,200ml,294
G16,Purana Ghritham,450ml,280
G16A,Purana Ghritham,200ml,126
G17,Brahmi Ghritham,450ml,420
G17A,Brahmi Ghritham,200ml,189
G18,Mahathikthaka Ghritham,450ml,483
G18A,Mahathikthaka Ghritham,200ml,214
G19,Rasnadasamoola Ghritham,450ml,392
G19A,Rasnadasamoola Ghritham,200ml,175
G1A,Indukantha Ghritham,200ml,207
G2,Kallyanaka Ghritham,450ml,441
G20,Vajraka Ghritham,450ml,375
G20A,Vajraka Ghritham,200ml,168
G21,Vidaryadi Ghritham,450ml,378
G21A,Vidaryadi Ghritham,200ml,168
G23,Shadphala Ghritham,450ml,347
G23A,Shadphala Ghritham,200ml,154
G24,Sukumara Ghritham,450ml,536
G24A,Sukumara Ghritham,200ml,238
G25,Mahakalyanaka Ghritham,450ml,483
G25A,Mahakalyanaka Ghritham,200ml,214
G26,Mahalpanchagavya Ghritham,450ml,431
G26A,Mahalpanchagavya Ghritham,200ml,196
G27,Panchagavya Ghritham,450ml,357
G27A,Panchagavya Ghritham,200ml,158
G28,Mahapaisachika Ghritham,450ml,357
G28A,Mahapaisachika Ghritham,200ml,161
G2A,Kallyanaka Ghritham,200ml,196
G3,Karaskara Ghritham,450ml,546
G30,Brahmikalyanaka Ghritham,450ml,336
G30A,Brahmikalyanaka Ghritham,200ml,151
G32,Koosmandaswarasa Ghritham,450ml,375
G32A,Koosmandaswarasa Ghritham,200ml,168
G33,Saraswathaghritham,450ml,357
G33A,Saraswathaghritham,200ml,158
G34,Phalasarpis,450ml,441
G34A,Phalasarpis,200ml,196
G35,Dhathryadi Ghritham,450ml,441
G35A,Dhathryadi Ghritham,200ml,196
G36,Vidaryadi Ghrutham (Mutton extract),450ml,497
G36A,Vidaryadi Ghrutham (Mutton extract),200ml,224
G3A,Karaskara Ghritham,200ml,245
G4,Gulguluthiktakam Ghritham,450ml,525
G46,Sughaprasavada Ghritham,200ml,256
